run_key,dataset_class,task_type,attack_severity,outer_fold
20260720_234434:1,normal,short_cube_pick_place,none,5
20260720_234434:10,normal,short_cube_pick_place,none,3
20260720_234434:100,normal,short_cube_pick_place,none,4
20260720_234434:11,normal,short_cube_pick_place,none,3
20260720_234434:12,normal,short_cube_pick_place,none,3
20260720_234434:13,normal,short_cube_pick_place,none,2
20260720_234434:14,normal,short_cube_pick_place,none,2
20260720_234434:15,normal,short_cube_pick_place,none,5
20260720_234434:16,normal,short_cube_pick_place,none,1
20260720_234434:17,normal,short_cube_pick_place,none,1
20260720_234434:18,normal,short_cube_pick_place,none,1
20260720_234434:19,normal,short_cube_pick_place,none,2
20260720_234434:2,normal,short_cube_pick_place,none,4
20260720_234434:20,normal,short_cube_pick_place,none,2
20260720_234434:21,normal,short_cube_pick_place,none,5
20260720_234434:22,normal,short_cube_pick_place,none,1
20260720_234434:23,normal,short_cube_pick_place,none,4
20260720_234434:24,normal,short_cube_pick_place,none,4
20260720_234434:25,normal,short_cube_pick_place,none,1
20260720_234434:26,normal,short_cube_pick_place,none,2
20260720_234434:27,normal,short_cube_pick_place,none,3
20260720_234434:28,normal,short_cube_pick_place,none,5
20260720_234434:29,normal,short_cube_pick_place,none,2
20260720_234434:3,normal,short_cube_pick_place,none,3
20260720_234434:30,normal,short_cube_pick_place,none,4
20260720_234434:31,normal,short_cube_pick_place,none,1
20260720_234434:32,normal,short_cube_pick_place,none,3
20260720_234434:33,normal,short_cube_pick_place,none,5
20260720_234434:34,normal,short_cube_pick_place,none,1
20260720_234434:35,normal,short_cube_pick_place,none,4
20260720_234434:36,normal,short_cube_pick_place,none,1
20260720_234434:37,normal,short_cube_pick_place,none,3
20260720_234434:38,normal,short_cube_pick_place,none,5
20260720_234434:39,normal,short_cube_pick_place,none,2
20260720_234434:4,normal,short_cube_pick_place,none,5
20260720_234434:40,normal,short_cube_pick_place,none,1
20260720_234434:41,normal,short_cube_pick_place,none,4
20260720_234434:42,normal,short_cube_pick_place,none,4
20260720_234434:43,normal,short_cube_pick_place,none,2
20260720_234434:44,normal,short_cube_pick_place,none,1
20260720_234434:45,normal,short_cube_pick_place,none,3
20260720_234434:46,normal,short_cube_pick_place,none,2
20260720_234434:47,normal,short_cube_pick_place,none,1
20260720_234434:48,normal,short_cube_pick_place,none,5
20260720_234434:49,normal,short_cube_pick_place,none,2
20260720_234434:5,normal,short_cube_pick_place,none,1
20260720_234434:50,normal,short_cube_pick_place,none,5
20260720_234434:51,normal,short_cube_pick_place,none,2
20260720_234434:52,normal,short_cube_pick_place,none,4
20260720_234434:53,normal,short_cube_pick_place,none,1
20260720_234434:54,normal,short_cube_pick_place,none,2
20260720_234434:55,normal,short_cube_pick_place,none,1
20260720_234434:56,normal,short_cube_pick_place,none,1
20260720_234434:57,normal,short_cube_pick_place,none,2
20260720_234434:58,normal,short_cube_pick_place,none,1
20260720_234434:59,normal,short_cube_pick_place,none,4
20260720_234434:6,normal,short_cube_pick_place,none,1
20260720_234434:60,normal,short_cube_pick_place,none,4
20260720_234434:61,normal,short_cube_pick_place,none,2
20260720_234434:62,normal,short_cube_pick_place,none,5
20260720_234434:63,normal,short_cube_pick_place,none,3
20260720_234434:64,normal,short_cube_pick_place,none,5
20260720_234434:65,normal,short_cube_pick_place,none,3
20260720_234434:66,normal,short_cube_pick_place,none,3
20260720_234434:67,normal,short_cube_pick_place,none,3
20260720_234434:68,normal,short_cube_pick_place,none,4
20260720_234434:69,normal,short_cube_pick_place,none,3
20260720_234434:7,normal,short_cube_pick_place,none,4
20260720_234434:70,normal,short_cube_pick_place,none,4
20260720_234434:71,normal,short_cube_pick_place,none,5
20260720_234434:72,normal,short_cube_pick_place,none,4
20260720_234434:73,normal,short_cube_pick_place,none,3
20260720_234434:74,normal,short_cube_pick_place,none,3
20260720_234434:75,normal,short_cube_pick_place,none,3
20260720_234434:76,normal,short_cube_pick_place,none,5
20260720_234434:77,normal,short_cube_pick_place,none,3
20260720_234434:78,normal,short_cube_pick_place,none,4
20260720_234434:79,normal,short_cube_pick_place,none,2
20260720_234434:8,normal,short_cube_pick_place,none,5
20260720_234434:80,normal,short_cube_pick_place,none,3
20260720_234434:81,normal,short_cube_pick_place,none,4
20260720_234434:82,normal,short_cube_pick_place,none,5
20260720_234434:83,normal,short_cube_pick_place,none,2
20260720_234434:84,normal,short_cube_pick_place,none,2
20260720_234434:85,normal,short_cube_pick_place,none,1
20260720_234434:86,normal,short_cube_pick_place,none,3
20260720_234434:87,normal,short_cube_pick_place,none,2
20260720_234434:88,normal,short_cube_pick_place,none,1
20260720_234434:89,normal,short_cube_pick_place,none,2
20260720_234434:9,normal,short_cube_pick_place,none,5
20260720_234434:90,normal,short_cube_pick_place,none,5
20260720_234434:91,normal,short_cube_pick_place,none,4
20260720_234434:92,normal,short_cube_pick_place,none,5
20260720_234434:93,normal,short_cube_pick_place,none,5
20260720_234434:94,normal,short_cube_pick_place,none,2
20260720_234434:95,normal,short_cube_pick_place,none,4
20260720_234434:96,normal,short_cube_pick_place,none,4
20260720_234434:97,normal,short_cube_pick_place,none,1
20260720_234434:98,normal,short_cube_pick_place,none,5
20260720_234434:99,normal,short_cube_pick_place,none,3
20260721_001111:101,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:102,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:103,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:104,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:105,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:106,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:107,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:108,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:109,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:110,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:111,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:112,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:113,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:114,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:115,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:116,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:117,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:118,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:119,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:120,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:121,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:122,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:123,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:124,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:125,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:126,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:127,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:128,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:129,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:130,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:131,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:132,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:133,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:134,normal,long_cube_then_cylinder_sort,none,4
