attack,metric,commands,median,q1,q3,normal_median,median_ratio_to_normal,common_language_effect,effect_ci95_low,effect_ci95_high,attack_runs,matched_normal_runs
Normal,target_reference_deviation_l2_rad,2600,0.0,0.0,0.0,0.0,1.0,0.5,,,,
Command injection,target_reference_deviation_l2_rad,100,0.09999999999999999,0.05,0.15,0.0,,1.0,1.0,1.0,100.0,200.0
Delay DoS,target_reference_deviation_l2_rad,100,0.0,0.0,0.0,0.0,,0.5,0.5,0.5,100.0,200.0
MITM manipulation,target_reference_deviation_l2_rad,100,0.09999999999999999,0.05,0.15,0.0,,1.0,1.0,1.0,100.0,200.0
Replay,target_reference_deviation_l2_rad,100,0.3266925465938884,0.28428656059800894,0.7258389490789262,0.0,,1.0,1.0,1.0,100.0,200.0
Normal,final_position_reference_deviation_l2_rad,2600,0.0030010525333981153,0.001224397616488327,0.006787636460456551,0.0030010525333981153,1.0,0.5,,,,
Command injection,final_position_reference_deviation_l2_rad,100,0.09882079185040035,0.049900236067740904,0.14633700956727486,0.0062406048886738865,15.835130346058413,1.0,1.0,1.0,100.0,200.0
Delay DoS,final_position_reference_deviation_l2_rad,100,0.005419786400044547,0.002943057451063391,0.00985623718589877,0.0062406048886738865,0.868471325573095,0.4791,0.40046625,0.54872,100.0,200.0
MITM manipulation,final_position_reference_deviation_l2_rad,100,0.09880637657056483,0.050653777384163476,0.14596598053244159,0.0062406048886738865,15.832820428976229,1.0,1.0,1.0,100.0,200.0
Replay,final_position_reference_deviation_l2_rad,100,0.3201081468436312,0.25388589566285924,0.7015144478182822,0.0021993228262083206,145.5485038526629,1.0,1.0,1.0,100.0,200.0
Normal,velocity_profile_reference_deviation_l2_rad_s,2600,0.0028856750357210276,0.00130352098948641,0.006796203209718431,0.0028856750357210276,1.0,0.5,,,,
Command injection,velocity_profile_reference_deviation_l2_rad_s,100,0.06238819494805183,0.05643705092331054,0.12156827343697792,0.004960874110987485,12.576048807582655,0.9998,0.99927375,1.0,100.0,200.0
Delay DoS,velocity_profile_reference_deviation_l2_rad_s,100,0.18122056301731077,0.10224019160399839,0.2316117268554904,0.004960874110987485,36.52996608318246,1.0,1.0,1.0,100.0,200.0
MITM manipulation,velocity_profile_reference_deviation_l2_rad_s,100,0.06154946676078349,0.056157190525095435,0.12112600053327305,0.004960874110987485,12.406980178042005,0.9998,0.9991475,1.0,100.0,200.0
Replay,velocity_profile_reference_deviation_l2_rad_s,100,0.39060256954215544,0.2684565649195651,0.4634410992721606,0.002297388991508383,170.02021468105838,0.99995,0.9997,1.0,100.0,200.0
Normal,effort_profile_reference_deviation_l2_nm,2600,0.1529187415588366,0.04559394652163006,3.144444573509325,0.1529187415588366,1.0,0.5,,,,
Command injection,effort_profile_reference_deviation_l2_nm,100,0.20950445788859418,0.14330453809455088,0.32231033146955324,0.22524563405012415,0.930115510438586,0.51875,0.4442425,0.58919875,100.0,200.0
Delay DoS,effort_profile_reference_deviation_l2_nm,100,3.914650494770121,2.1533274679600796,5.558592700891785,0.22524563405012415,17.379473352628843,1.0,1.0,1.0,100.0,200.0
MITM manipulation,effort_profile_reference_deviation_l2_nm,100,0.23616544715767662,0.1725778090777954,0.33594364693283163,0.22524563405012415,1.0484795772117939,0.5632,0.4983325,0.6408349999999999,100.0,200.0
Replay,effort_profile_reference_deviation_l2_nm,100,9.721163679896456,1.4647833068451042,160.4996974279104,0.2654484119530813,36.621668249477786,0.8038,0.75239875,0.85022625,100.0,200.0
Normal,proxy_time_reference_deviation_s,2600,0.0002311815000000106,9.60268750000437e-05,0.0251922857500001,0.0002311815000000106,1.0,0.5,,,,
Command injection,proxy_time_reference_deviation_s,100,0.0010996862499998983,0.0004087545000000248,0.04892869737500016,0.024628305750000024,0.04465131548888202,0.54245,0.47416875,0.60241875,100.0,200.0
Delay DoS,proxy_time_reference_deviation_s,100,0.7511479477499999,0.29421879887499996,1.50069209175,0.024628305750000024,30.499375611738913,1.0,1.0,1.0,100.0,200.0
MITM manipulation,proxy_time_reference_deviation_s,100,0.0008959334999998902,0.0005020542499999114,0.049253868000000034,0.024628305750000024,0.03637820275151852,0.5599,0.47835875,0.62746625,100.0,200.0
Replay,proxy_time_reference_deviation_s,100,0.34955380675000003,0.099734189375,0.399483157125,0.0001710506249999466,2043.569304409786,1.0,1.0,1.0,100.0,200.0
Normal,final_tracking_error_l2_rad,2600,0.01308960670421605,0.005627693029573875,0.021727427974764048,0.01308960670421605,1.0,0.5,,,,
Command injection,final_tracking_error_l2_rad,100,0.01200603114594765,0.005255439156453176,0.0177672584612244,0.00859575989081825,1.3967387756808047,0.5817,0.51007125,0.6499125,100.0,200.0
Delay DoS,final_tracking_error_l2_rad,100,0.01058757530714465,0.0033146296875913002,0.017093016946635776,0.00859575989081825,1.2317206903899214,0.5224,0.45126375,0.59541625,100.0,200.0
MITM manipulation,final_tracking_error_l2_rad,100,0.013964036469322,0.006087113378045374,0.019699679750444874,0.00859575989081825,1.624526120632801,0.6148,0.54322375,0.68402,100.0,200.0
Replay,final_tracking_error_l2_rad,100,0.022049607398841,0.015819048134673074,0.043591364295231076,0.0105857756071149,2.082946797400565,0.8766,0.8200975,0.92326,100.0,200.0
