outer_fold,feature_set,model,threshold,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc,false_positive_rate,normal_run_false_positive_rate,attacked_run_alert_recall,tn,fp,fn,tp
1,cyber_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
1,cyber_only,logistic_regression,0.74,0.5333333333333333,0.8,0.64,0.881578947368421,0.6314801566485462,0.9199177631578946,0.5571116323699788,0.03684210526315789,0.5,0.8875,1464,56,16,64
1,cyber_only,random_forest,0.41000000000000003,0.974025974025974,0.9375,0.9554140127388535,0.9680921052631579,0.9533070073668563,0.9987664473684211,0.9833623949783094,0.0013157894736842105,0.05,0.9375,1518,2,5,75
1,cyber_only,hist_gradient_boosting,0.445,0.9868421052631579,0.9375,0.9615384615384616,0.968421052631579,0.9599174998419334,0.9988815789473684,0.9829223593595823,0.0006578947368421052,0.025,0.9375,1519,1,5,75
1,physical_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
1,physical_only,logistic_regression,0.86,0.8076923076923077,0.7875,0.7974683544303798,0.8888157894736842,0.7870205066476247,0.9901315789473685,0.876592480998512,0.009868421052631578,0.25,0.7875,1505,15,17,63
1,physical_only,random_forest,0.445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1520,0,0,80
1,physical_only,hist_gradient_boosting,0.255,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,0.9999753289473684,0.9995481927710841,0.0,0.0,0.9875,1520,0,1,79
1,fused,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
1,fused,logistic_regression,0.8150000000000001,0.8441558441558441,0.8125,0.8280254777070064,0.9023026315789473,0.8193214827896453,0.9907236842105264,0.9080781354377536,0.007894736842105263,0.175,0.85,1508,12,15,65
1,fused,random_forest,0.62,1.0,0.95,0.9743589743589743,0.975,0.973399487199264,1.0,0.9999999999999997,0.0,0.0,0.95,1520,0,4,76
1,fused,hist_gradient_boosting,0.32,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,1.0,1.0,0.0,0.0,0.9875,1520,0,1,79
2,cyber_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
2,cyber_only,logistic_regression,0.855,0.6031746031746031,0.475,0.5314685314685315,0.7292763157894737,0.5138646814814369,0.9591611842105264,0.5638044128824691,0.01644736842105263,0.05,0.625,1495,25,42,38
2,cyber_only,random_forest,0.65,0.961038961038961,0.925,0.9426751592356688,0.9615131578947369,0.9399084549091352,0.999671052631579,0.9945723693528894,0.001973684210526316,0.075,0.925,1517,3,6,74
2,cyber_only,hist_gradient_boosting,0.325,0.9753086419753086,0.9875,0.9813664596273292,0.9930921052631579,0.9804003011921139,0.9998930921052632,0.9982526881720428,0.0013157894736842105,0.025,0.9875,1518,2,1,79
2,physical_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
2,physical_only,logistic_regression,0.87,0.7590361445783133,0.7875,0.7730061349693251,0.8871710526315789,0.7609705081876593,0.9908963815789474,0.8787463339778447,0.013157894736842105,0.3,0.7875,1500,20,17,63
2,physical_only,random_forest,0.45,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,1.0,0.9999999999999999,0.0,0.0,0.9875,1520,0,1,79
2,physical_only,hist_gradient_boosting,0.075,0.9875,0.9875,0.9875,0.993421052631579,0.9868421052631579,0.9999917763157895,0.9998456790123456,0.0006578947368421052,0.0,0.9875,1519,1,1,79
2,fused,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
2,fused,logistic_regression,0.915,0.8933333333333333,0.8375,0.864516129032258,0.9161184210526316,0.8581202912659899,0.9951069078947369,0.9405924897710122,0.005263157894736842,0.1,0.8375,1512,8,13,67
2,fused,random_forest,0.465,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,1.0,0.9999999999999998,0.0,0.0,0.9875,1520,0,1,79
2,fused,hist_gradient_boosting,0.8150000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.0,1520,0,0,80
3,cyber_only,dummy_prior,0.045000000000000005,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
3,cyber_only,logistic_regression,0.765,0.5363636363636364,0.7375,0.6210526315789474,0.8519736842105263,0.6063417884916689,0.9637746710526316,0.5560464860749944,0.03355263157894737,0.5,0.8375,1469,51,21,59
3,cyber_only,random_forest,0.48500000000000004,0.9634146341463414,0.9875,0.9753086419753086,0.9927631578947369,0.9740745598494562,0.9999177631578947,0.9984948888091819,0.001973684210526316,0.05,0.9875,1517,3,1,79
3,cyber_only,hist_gradient_boosting,0.31,0.9875,0.9875,0.9875,0.993421052631579,0.9868421052631579,0.9999917763157894,0.9998456790123456,0.0006578947368421052,0.0,0.9875,1519,1,1,79
3,physical_only,dummy_prior,0.045000000000000005,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
3,physical_only,logistic_regression,0.935,0.8405797101449275,0.725,0.7785234899328859,0.8588815789473684,0.7700799380468484,0.9900411184210526,0.8293546248658296,0.007236842105263158,0.125,0.725,1509,11,22,58
3,physical_only,random_forest,0.275,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,1.0,1.0,0.0,0.0,0.9875,1520,0,1,79
3,physical_only,hist_gradient_boosting,0.09,1.0,0.9625,0.9808917197452229,0.98125,0.9801041122822985,0.9999753289473684,0.999548192771084,0.0,0.0,0.9625,1520,0,3,77
3,fused,dummy_prior,0.045000000000000005,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
3,fused,logistic_regression,0.8,0.797752808988764,0.8875,0.8402366863905325,0.937828947368421,0.8326721121364362,0.9935690789473683,0.8742589627966182,0.011842105263157895,0.225,0.9,1502,18,9,71
3,fused,random_forest,0.465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1520,0,0,80
3,fused,hist_gradient_boosting,0.535,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,0.9999999999999999,1.0,0.0,0.0,0.9875,1520,0,1,79
4,cyber_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
4,cyber_only,logistic_regression,0.785,0.6111111111111112,0.55,0.5789473684210527,0.7657894736842106,0.5588646435803186,0.960608552631579,0.5423677468136013,0.018421052631578946,0.15,0.6375,1492,28,36,44
4,cyber_only,random_forest,0.555,0.9743589743589743,0.95,0.9620253164556962,0.9743421052631579,0.9601383845904187,0.9999013157894736,0.9981733965700049,0.0013157894736842105,0.025,0.95,1518,2,4,76
4,cyber_only,hist_gradient_boosting,0.97,1.0,0.975,0.9873417721518988,0.9875,0.9867719042739255,0.999983552631579,0.9996894290123455,0.0,0.0,0.975,1520,0,2,78
4,physical_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
4,physical_only,logistic_regression,0.845,0.7692307692307693,0.875,0.8187134502923976,0.9305921052631578,0.8103964502385821,0.9937006578947368,0.9203532630215002,0.01381578947368421,0.375,0.875,1499,21,10,70
4,physical_only,random_forest,0.53,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,1.0,1.0,0.0,0.0,0.9875,1520,0,1,79
4,physical_only,hist_gradient_boosting,0.99,1.0,0.975,0.9873417721518988,0.9875,0.9867719042739255,1.0,0.9999999999999999,0.0,0.0,0.975,1520,0,2,78
4,fused,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
4,fused,logistic_regression,0.855,0.9210526315789473,0.875,0.8974358974358975,0.9355263157894738,0.8925075630552808,0.9957072368421053,0.9508193620194151,0.003947368421052632,0.1,0.875,1514,6,10,70
4,fused,random_forest,0.5650000000000001,1.0,0.9875,0.9937106918238994,0.99375,0.9934036219390009,1.0,1.0,0.0,0.0,0.9875,1520,0,1,79
4,fused,hist_gradient_boosting,0.24500000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.0,1520,0,0,80
5,cyber_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
5,cyber_only,logistic_regression,0.725,0.528,0.825,0.6439024390243903,0.8930921052631579,0.6384694007828018,0.9506907894736842,0.5389909141294593,0.03881578947368421,0.575,0.9,1461,59,14,66
5,cyber_only,random_forest,0.5800000000000001,1.0,0.9625,0.9808917197452229,0.98125,0.9801041122822985,0.9998108552631578,0.9970865122509087,0.0,0.0,0.9625,1520,0,3,77
5,cyber_only,hist_gradient_boosting,0.43,1.0,0.9625,0.9808917197452229,0.98125,0.9801041122822985,0.9996299342105263,0.9943917218949434,0.0,0.0,0.9625,1520,0,3,77
5,physical_only,dummy_prior,0.05,0.05,1.0,0.09523809523809523,0.5,0.0,0.5,0.05,1.0,1.0,1.0,0,1520,0,80
5,physical_only,logistic_regression,0.885,0.810126582278481,0.8,0.8050314465408805,0.8950657894736842,0.7948552631237442,0.9928371710526316,0.8949994822285101,0.009868421052631578,0.2,0.8,1505,15,16,64
