feature_set,model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,threshold_mean,balanced_accuracy_mean,mcc_mean,roc_auc_mean,pr_auc_mean,false_positive_rate_mean,normal_run_false_positive_rate_mean,attacked_run_alert_recall_mean
cyber_only,dummy_prior,0.05,0.0,1.0,0.0,0.09523809523809523,0.0,0.049,0.5,0.0,0.5,0.05,1.0,1.0,1.0
cyber_only,hist_gradient_boosting,0.9899301494476933,0.010392712642524428,0.97,0.020916500663351913,0.9797276826125826,0.010645088220829248,0.496,0.9847368421052632,0.9788071845706858,0.9996759868421053,0.9950203754902519,0.0005263157894736842,0.01,0.97
cyber_only,logistic_regression,0.5623965367965369,0.04105320904713952,0.6775,0.15622499799967993,0.6030741940985844,0.04760031401521658,0.774,0.8243421052631579,0.5898041341969545,0.9508305921052631,0.5516642384541006,0.028815789473684204,0.355,0.7775000000000001
cyber_only,random_forest,0.9745677087140502,0.01544794947983189,0.9525,0.024044230077089175,0.96326297003015,0.015353068906308071,0.536,0.975592105263158,0.9615065037996329,0.9996134868421052,0.9943379123922588,0.0013157894736842105,0.04,0.9525
fused,dummy_prior,0.05,0.0,1.0,0.0,0.09523809523809523,0.0,0.049,0.5,0.0,0.5,0.05,1.0,1.0,1.0
fused,hist_gradient_boosting,1.0,0.0,0.9875,0.015309310892394859,0.9936626206786043,0.0078010461741802395,0.5630000000000001,0.99375,0.9933822712320601,0.9999736842105262,0.9995740131578946,0.0,0.0,0.9875
fused,logistic_regression,0.8712589236113777,0.04982586725937342,0.8400000000000001,0.041833001326703784,0.8540428381131389,0.027646706812145802,0.86,0.9166447368421053,0.8473663028735932,0.9925509868421052,0.9193729787691785,0.006710526315789474,0.13999999999999999,0.8525
fused,random_forest,1.0,0.0,0.9824999999999999,0.01895718861012892,0.9910982099661345,0.009745756241699498,0.527,0.99125,0.9907220706032532,1.0,0.9999999999999998,0.0,0.0,0.9824999999999999
physical_only,dummy_prior,0.05,0.0,1.0,0.0,0.09523809523809523,0.0,0.049,0.5,0.0,0.5,0.05,1.0,1.0,1.0
physical_only,hist_gradient_boosting,0.9974999999999999,0.005590169943749467,0.9775,0.010458250331675974,0.987357191174584,0.004532939475601692,0.471,0.9886842105263158,0.9867787296064616,0.9999884868421052,0.9997884129109027,0.00013157894736842105,0.0,0.9775
physical_only,logistic_regression,0.7973331027849597,0.03315740283512641,0.795,0.05347312409051861,0.7945485752331738,0.018862906585712543,0.8789999999999999,0.8921052631578947,0.7846645332488917,0.9915213815789474,0.8800092370184392,0.010789473684210526,0.25,0.795
physical_only,random_forest,1.0,0.0,0.9875,0.00883883476483187,0.9936947695247194,0.004475412481668808,0.461,0.99375,0.9933965540181855,1.0,1.0,0.0,0.0,0.9875
