analysis,feature_set,fold,features,fit_runs,threshold_runs,test_runs,threshold,precision,recall,f1,pr_auc,balanced_accuracy,mcc,normal_run_false_positive_rate,attacked_run_recall
standalone,Command targets,1,14,360,120,120,0.9555555555555556,1.0,0.575,0.7301587301587301,0.7076026868985725,0.7875,0.7499463730291402,0.0,0.575
standalone,Command targets,2,14,360,120,120,0.9145728077232502,1.0,0.5375,0.6991869918699187,0.6724277222826518,0.76875,0.7243804519573304,0.0,0.5375
standalone,Command targets,3,14,360,120,120,0.9277777777777778,1.0,0.5625,0.72,0.7078671276609563,0.78125,0.7415114485264673,0.0,0.5625
standalone,Command targets,4,14,360,120,120,0.7769518209649282,1.0,0.6,0.75,0.7232553113183942,0.8,0.7665695441245898,0.0,0.6
standalone,Command targets,5,14,360,120,120,0.8388888888888889,1.0,0.5875,0.7401574803149606,0.7237612844078561,0.79375,0.7582981589553547,0.0,0.5875
standalone,Timing and context,1,8,360,120,120,0.3277777777777778,0.925,0.925,0.925,0.9674304895466169,0.9605263157894737,0.9210526315789473,0.1,0.925
standalone,Timing and context,2,8,360,120,120,0.3,0.9058823529411765,0.9625,0.9333333333333333,0.9742985372190983,0.9786184210526316,0.9301873168072541,0.15,0.9625
standalone,Timing and context,3,8,360,120,120,0.45,0.948051948051948,0.9125,0.9299363057324841,0.989633703813488,0.9549342105263158,0.9265099024514141,0.075,0.9125
standalone,Timing and context,4,8,360,120,120,0.5166666666666667,0.975,0.975,0.975,0.9841522735286852,0.986842105263158,0.9736842105263158,0.025,0.975
standalone,Timing and context,5,8,360,120,120,0.3388888888888889,0.9620253164556962,0.95,0.9559748427672956,0.9804767315840753,0.9740131578947369,0.9536939501759495,0.075,0.95
standalone,Joint positions,1,63,360,120,120,0.4,1.0,0.975,0.9873417721518988,1.0,0.9875,0.9867719042739255,0.0,0.975
standalone,Joint positions,2,63,360,120,120,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
standalone,Joint positions,3,63,360,120,120,0.3611111111111111,1.0,0.9875,0.9937106918238994,1.0,0.99375,0.9934036219390009,0.0,0.9875
standalone,Joint positions,4,63,360,120,120,0.2722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
standalone,Joint positions,5,63,360,120,120,0.22777777777777777,0.9634146341463414,0.9875,0.9753086419753086,0.9994047619047621,0.9927631578947369,0.9740745598494562,0.05,0.9875
standalone,Joint velocities,1,63,360,120,120,0.2833333333333333,0.9753086419753086,0.9875,0.9813664596273292,0.996663412429499,0.9930921052631579,0.9804003011921139,0.025,0.9875
standalone,Joint velocities,2,63,360,120,120,0.3055555555555556,0.9876543209876543,1.0,0.9937888198757764,0.9995312011642444,0.999671052631579,0.9934810256910079,0.025,1.0
standalone,Joint velocities,3,63,360,120,120,0.35,1.0,0.9875,0.9937106918238994,1.0,0.99375,0.9934036219390009,0.0,0.9875
standalone,Joint velocities,4,63,360,120,120,0.4222222222222222,1.0,0.9875,0.9937106918238994,1.0,0.99375,0.9934036219390009,0.0,0.9875
standalone,Joint velocities,5,63,360,120,120,0.3,0.9518072289156626,0.9875,0.9693251533742331,0.995561508120892,0.9924342105263158,0.9678613855199032,0.075,0.9875
standalone,Joint efforts,1,54,360,120,120,0.3888888888888889,0.9411764705882353,0.8,0.8648648648648649,0.9526356104238,0.8986842105263158,0.8614736146593545,0.075,0.8
standalone,Joint efforts,2,54,360,120,120,0.38333333333333336,0.8831168831168831,0.85,0.8662420382165605,0.9648110656051033,0.9220394736842106,0.8595171401628086,0.15,0.85
standalone,Joint efforts,3,54,360,120,120,0.42777777777777776,0.868421052631579,0.825,0.8461538461538461,0.9516538782347075,0.9092105263157895,0.8385796136259587,0.075,0.825
standalone,Joint efforts,4,54,360,120,120,0.35555555555555557,0.9113924050632911,0.9,0.9056603773584906,0.972431577546498,0.9476973684210526,0.9007477211585477,0.075,0.9
standalone,Joint efforts,5,54,360,120,120,0.2722222222222222,0.8181818181818182,0.9,0.8571428571428571,0.9522363976737815,0.9447368421052631,0.8503205196882414,0.275,0.9
standalone,Sampling context,1,3,360,120,120,0.4,0.26506024096385544,0.275,0.26993865030674846,0.1826081415888905,0.6174342105263158,0.23081263502378452,0.425,0.5625
standalone,Sampling context,2,3,360,120,120,0.2222222222222222,0.22857142857142856,0.3,0.2594594594594595,0.200606409602272,0.6233552631578947,0.21713969395755534,0.6,0.525
standalone,Sampling context,3,3,360,120,120,0.23333333333333334,0.24561403508771928,0.35,0.28865979381443296,0.26954632611944146,0.6467105263157895,0.24859719717665898,0.65,0.6375
standalone,Sampling context,4,3,360,120,120,0.3277777777777778,0.27058823529411763,0.2875,0.2787878787878788,0.21607451623514162,0.6233552631578947,0.23973899917712735,0.325,0.625
standalone,Sampling context,5,3,360,120,120,0.2833333333333333,0.32558139534883723,0.35,0.3373493975903614,0.2867551711063712,0.655921052631579,0.30136261659510166,0.4,0.5875
standalone,Tracking residuals,1,14,360,120,120,0.22118769957244405,0.7888888888888889,0.8875,0.8352941176470589,0.8942605469073102,0.9375,0.82768505241408,0.3,0.8875
standalone,Tracking residuals,2,14,360,120,120,0.2715158892637507,0.8552631578947368,0.8125,0.8333333333333334,0.8849719787933802,0.9026315789473685,0.8250976262686281,0.125,0.825
standalone,Tracking residuals,3,14,360,120,120,0.5475401801168299,0.8529411764705882,0.725,0.7837837837837838,0.929541395446436,0.8592105263157894,0.776179197366349,0.125,0.725
standalone,Tracking residuals,4,14,360,120,120,0.40555555555555556,0.8157894736842105,0.775,0.7948717948717948,0.8801820749819858,0.8828947368421053,0.7846516641966366,0.175,0.8
standalone,Tracking residuals,5,14,360,120,120,0.40431585086558847,0.875,0.7875,0.8289473684210527,0.876626421517035,0.8907894736842106,0.8216970254621517,0.15,0.8
standalone,All cyber features,1,22,360,120,120,0.4111111111111111,0.974025974025974,0.9375,0.9554140127388535,0.9872536867771691,0.9680921052631579,0.9533070073668563,0.025,0.9375
standalone,All cyber features,2,22,360,120,120,0.38333333333333336,0.9512195121951219,0.975,0.9629629629629629,0.9967179283633336,0.9861842105263158,0.961069559050398,0.075,0.975
standalone,All cyber features,3,22,360,120,120,0.42777777777777776,0.9876543209876543,1.0,0.9937888198757764,0.9998456790123457,0.999671052631579,0.9934810256910079,0.025,1.0
standalone,All cyber features,4,22,360,120,120,0.39444444444444443,0.9753086419753086,0.9875,0.9813664596273292,0.9993864799759109,0.9930921052631579,0.9804003011921139,0.025,0.9875
standalone,All cyber features,5,22,360,120,120,0.35,0.9875,0.9875,0.9875,0.9995312011642445,0.993421052631579,0.9868421052631579,0.025,0.9875
standalone,All physical features,1,183,360,120,120,0.5444444444444444,1.0,0.9625,0.9808917197452229,1.0,0.98125,0.9801041122822985,0.0,0.9625
standalone,All physical features,2,183,360,120,120,0.49444444444444446,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
standalone,All physical features,3,183,360,120,120,0.42777777777777776,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.0,1.0
standalone,All physical features,4,183,360,120,120,0.40555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
standalone,All physical features,5,183,360,120,120,0.48333333333333334,1.0,0.975,0.9873417721518988,1.0,0.9875,0.9867719042739255,0.0,0.975
standalone,All fused features,1,219,360,120,120,0.5388888888888889,1.0,0.9625,0.9808917197452229,1.0,0.98125,0.9801041122822985,0.0,0.9625
standalone,All fused features,2,219,360,120,120,0.6111111111111112,1.0,0.9875,0.9937106918238994,1.0,0.99375,0.9934036219390009,0.0,0.9875
standalone,All fused features,3,219,360,120,120,0.43333333333333335,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
standalone,All fused features,4,219,360,120,120,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
standalone,All fused features,5,219,360,120,120,0.5555555555555556,1.0,0.975,0.9873417721518988,1.0,0.9875,0.9867719042739255,0.0,0.975
leave_one_out,Without command targets,1,205,360,120,120,0.5166666666666667,1.0,0.9625,0.9808917197452229,1.0,0.98125,0.9801041122822985,0.0,0.9625
leave_one_out,Without command targets,2,205,360,120,120,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without command targets,3,205,360,120,120,0.5,1.0,0.9875,0.9937106918238994,1.0,0.99375,0.9934036219390009,0.0,0.9875
leave_one_out,Without command targets,4,205,360,120,120,0.2722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without command targets,5,205,360,120,120,0.5055555555555555,1.0,0.975,0.9873417721518988,0.9999999999999999,0.9875,0.9867719042739255,0.0,0.975
leave_one_out,Without timing and context,1,211,360,120,120,0.5666666666666667,1.0,0.9625,0.9808917197452229,1.0,0.98125,0.9801041122822985,0.0,0.9625
