feature_set,model,class_label,support,precision,recall,f1
cyber_only,dummy_prior,normal,7600,0.95,1.0,0.9743589743589743
cyber_only,dummy_prior,mitm_trajectory_manipulation,100,0.0,0.0,0.0
cyber_only,dummy_prior,command_injection,100,0.0,0.0,0.0
cyber_only,dummy_prior,replay_attack,100,0.0,0.0,0.0
cyber_only,dummy_prior,denial_of_service,100,0.0,0.0,0.0
cyber_only,hist_gradient_boosting,normal,7600,0.9988164124145187,0.9993421052631579,0.9990791896869246
cyber_only,hist_gradient_boosting,mitm_trajectory_manipulation,100,0.9897959183673469,0.97,0.9797979797979798
cyber_only,hist_gradient_boosting,command_injection,100,0.9801980198019802,0.99,0.9850746268656716
cyber_only,hist_gradient_boosting,replay_attack,100,1.0,0.94,0.9690721649484536
cyber_only,hist_gradient_boosting,denial_of_service,100,0.9611650485436893,0.99,0.9753694581280788
cyber_only,logistic_regression,normal,7600,0.999054820415879,0.8344736842105264,0.9093776885574993
cyber_only,logistic_regression,mitm_trajectory_manipulation,100,0.14184397163120568,1.0,0.24844720496894412
cyber_only,logistic_regression,command_injection,100,0.9405940594059405,0.95,0.9452736318407959
cyber_only,logistic_regression,replay_attack,100,0.14641744548286603,0.94,0.2533692722371968
cyber_only,logistic_regression,denial_of_service,100,0.49019607843137253,1.0,0.6578947368421052
cyber_only,random_forest,normal,7600,0.9989483370579729,0.9998684210526316,0.9994081672913789
cyber_only,random_forest,mitm_trajectory_manipulation,100,0.9615384615384616,1.0,0.9803921568627451
cyber_only,random_forest,command_injection,100,1.0,0.95,0.9743589743589743
cyber_only,random_forest,replay_attack,100,1.0,0.93,0.9637305699481865
cyber_only,random_forest,denial_of_service,100,0.9900990099009901,1.0,0.9950248756218906
fused,dummy_prior,normal,7600,0.95,1.0,0.9743589743589743
fused,dummy_prior,mitm_trajectory_manipulation,100,0.0,0.0,0.0
fused,dummy_prior,command_injection,100,0.0,0.0,0.0
fused,dummy_prior,replay_attack,100,0.0,0.0,0.0
fused,dummy_prior,denial_of_service,100,0.0,0.0,0.0
fused,hist_gradient_boosting,normal,7600,0.999473753453493,0.9996052631578948,0.9995395039800014
fused,hist_gradient_boosting,mitm_trajectory_manipulation,100,0.9705882352941176,0.99,0.9801980198019802
fused,hist_gradient_boosting,command_injection,100,1.0,0.98,0.98989898989899
fused,hist_gradient_boosting,replay_attack,100,1.0,1.0,1.0
fused,hist_gradient_boosting,denial_of_service,100,1.0,0.99,0.9949748743718593
fused,logistic_regression,normal,7600,0.9992902767920511,0.9263157894736842,0.9614202799590303
fused,logistic_regression,mitm_trajectory_manipulation,100,0.14913657770800628,0.95,0.2578018995929444
fused,logistic_regression,command_injection,100,0.8230088495575221,0.93,0.8732394366197184
fused,logistic_regression,replay_attack,100,1.0,0.99,0.9949748743718593
fused,logistic_regression,denial_of_service,100,0.9433962264150944,1.0,0.970873786407767
fused,random_forest,normal,7600,0.9982923945882044,1.0,0.9991454676921054
fused,random_forest,mitm_trajectory_manipulation,100,1.0,0.92,0.9583333333333334
fused,random_forest,command_injection,100,1.0,0.95,0.9743589743589743
fused,random_forest,replay_attack,100,1.0,1.0,1.0
fused,random_forest,denial_of_service,100,1.0,1.0,1.0
physical_only,dummy_prior,normal,7600,0.95,1.0,0.9743589743589743
physical_only,dummy_prior,mitm_trajectory_manipulation,100,0.0,0.0,0.0
physical_only,dummy_prior,command_injection,100,0.0,0.0,0.0
physical_only,dummy_prior,replay_attack,100,0.0,0.0,0.0
physical_only,dummy_prior,denial_of_service,100,0.0,0.0,0.0
physical_only,hist_gradient_boosting,normal,7600,0.9996054189135868,1.0,0.9998026705255542
physical_only,hist_gradient_boosting,mitm_trajectory_manipulation,100,0.4536082474226804,0.44,0.4467005076142132
physical_only,hist_gradient_boosting,command_injection,100,0.45544554455445546,0.46,0.4577114427860697
physical_only,hist_gradient_boosting,replay_attack,100,1.0,1.0,1.0
physical_only,hist_gradient_boosting,denial_of_service,100,1.0,0.99,0.9949748743718593
physical_only,logistic_regression,normal,7600,1.0,0.9214473684210527,0.9591179894542218
physical_only,logistic_regression,mitm_trajectory_manipulation,100,0.10909090909090909,0.42,0.1731958762886598
physical_only,logistic_regression,command_injection,100,0.11633663366336634,0.47,0.1865079365079365
physical_only,logistic_regression,replay_attack,100,1.0,1.0,1.0
physical_only,logistic_regression,denial_of_service,100,0.9259259259259259,1.0,0.9615384615384615
physical_only,random_forest,normal,7600,0.9842009842009842,1.0,0.9920375930035243
physical_only,random_forest,mitm_trajectory_manipulation,100,0.48717948717948717,0.19,0.2733812949640288
physical_only,random_forest,command_injection,100,0.46153846153846156,0.18,0.2589928057553956
physical_only,random_forest,replay_attack,100,1.0,1.0,1.0
physical_only,random_forest,denial_of_service,100,1.0,1.0,1.0
