feature_set,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_recall_mean,macro_f1_mean,macro_f1_std,weighted_f1_mean
cyber_only,dummy_prior,0.95,0.0,0.2,0.0,0.19,0.2,0.19487179487179487,0.0,0.9256410256410257
cyber_only,hist_gradient_boosting,0.998,0.0010269797953222268,0.9778684210526316,0.0163921177260812,0.9869496849446939,0.9778684210526316,0.9814480763379331,0.008577573719789691,0.9979774635470301
cyber_only,logistic_regression,0.841375,0.032356655034165696,0.9448947368421052,0.01074017943488969,0.5538289840794763,0.9448947368421052,0.6120731544672371,0.04009126126443408,0.8905034750958374
cyber_only,random_forest,0.998375,0.0011353688827865774,0.9759736842105264,0.018158752840135812,0.9904393422026588,0.9759736842105264,0.9822925782389975,0.010967037138884852,0.9983387749282968
fused,dummy_prior,0.95,0.0,0.2,0.0,0.19,0.2,0.19487179487179487,0.0,0.9256410256410257
fused,hist_gradient_boosting,0.999125,0.0007126096406869618,0.991921052631579,0.004517586441632017,0.994180468406676,0.9919210526315789,0.9929285283001545,0.005627556352757523,0.9991262692756406
fused,logistic_regression,0.928375,0.0027457353295611,0.9592631578947369,0.020867525035519485,0.7842133263326888,0.9592631578947367,0.8119451858033507,0.013586165200977014,0.9520772174926361
fused,random_forest,0.998375,0.00034232659844069284,0.974,0.005477225575051695,0.9996584995897336,0.974,0.986221483006485,0.0031036759977671365,0.9983377429349236
physical_only,dummy_prior,0.95,0.0,0.2,0.0,0.19,0.2,0.19487179487179487,0.0,0.9256410256410257
physical_only,hist_gradient_boosting,0.986125,0.0012022115038544316,0.778,0.019235384061671384,0.7818213602909648,0.778,0.7788263112783351,0.019800946399804883,0.9859916724062276
physical_only,logistic_regression,0.9115,0.0031124748994971873,0.7622894736842105,0.03288876261538575,0.6319220263479386,0.7622894736842105,0.6568192169761915,0.020122927201617843,0.9402238308779964
physical_only,random_forest,0.9796250000000001,0.0018540496217738882,0.6739999999999999,0.029664793948382624,0.7678425952961011,0.6739999999999999,0.6999986900012719,0.03360932195194982,0.9737880388003031
