feature,importance,importance_std
physical_reported_shoulder_pan_position_rms,9.183980728688645e-05,0.00012214159066117354
physical_reported_shoulder_lift_position_max,6.661338147750939e-17,5.438959822042074e-17
physical_reported_elbow_velocity_rms,4.4408920985006264e-17,8.881784197001252e-17
physical_reported_wrist_1_velocity_range,4.4408920985006264e-17,5.438959822042074e-17
physical_reported_wrist_3_velocity_last,2.2204460492503132e-17,4.440892098500627e-17
physical_reported_gripper_velocity_std,2.2204460492503132e-17,8.30814836211045e-17
physical_reported_elbow_velocity_delta,2.2204460492503132e-17,8.30814836211045e-17
physical_reported_wrist_2_position_std,2.2204460492503132e-17,4.4408920985006264e-17
physical_reported_elbow_effort_max,2.2204460492503132e-17,8.30814836211045e-17
physical_reported_gripper_position_std,2.2204460492503132e-17,4.440892098500627e-17
physical_reported_wrist_2_velocity_max,2.2204460492503132e-17,4.440892098500627e-17
physical_reported_elbow_position_range,2.2204460492503132e-17,4.4408920985006264e-17
physical_reported_wrist_1_velocity_rms,2.2204460492503132e-17,4.4408920985006264e-17
physical_reported_elbow_effort_mean,2.2204460492503132e-17,8.30814836211045e-17
physical_reported_wrist_3_position_delta,0.0,0.0
fused_abs_final_tracking_error_wrist_3,0.0,0.0
cyber_target_wrist_3,0.0,0.0
cyber_target_delta_wrist_3,0.0,0.0
cyber_target_wrist_2,0.0,0.0
cyber_target_delta_wrist_2,0.0,0.0
cyber_target_delta_wrist_1,0.0,0.0
physical_reported_shoulder_lift_velocity_range,0.0,0.0
physical_reported_shoulder_lift_velocity_last,0.0,7.021666937153402e-17
physical_reported_wrist_3_effort_rms,0.0,1.2161883888976234e-16
physical_reported_wrist_1_position_min,0.0,7.021666937153402e-17
physical_reported_wrist_1_effort_rms,0.0,0.0
physical_reported_wrist_2_position_range,0.0,1.2161883888976234e-16
fused_final_tracking_error_wrist_3,0.0,0.0
physical_reported_shoulder_pan_position_max,0.0,7.021666937153402e-17
physical_reported_gripper_position_rms,0.0,0.0
physical_reported_gripper_position_range,0.0,7.021666937153402e-17
physical_reported_wrist_1_effort_first,0.0,7.021666937153402e-17
physical_reported_wrist_2_effort_rms,0.0,0.0
physical_reported_wrist_2_position_max,0.0,7.021666937153402e-17
physical_reported_wrist_2_position_first,0.0,1.4043333874306804e-16
physical_reported_wrist_3_velocity_mean,0.0,0.0
cyber_context_age_seconds,0.0,0.0
cyber_is_first_command,0.0,0.0
physical_reported_wrist_3_position_first,0.0,0.0
physical_reported_wrist_3_position_last,0.0,0.0
physical_reported_wrist_3_position_max,0.0,0.0
physical_reported_wrist_3_position_mean,0.0,0.0
physical_reported_wrist_3_position_min,0.0,0.0
physical_reported_wrist_3_position_rms,0.0,0.0
physical_reported_wrist_3_position_std,0.0,0.0
physical_reported_wrist_3_velocity_std,-2.2204460492503132e-17,4.4408920985006264e-17
physical_reported_elbow_position_max,-2.2204460492503132e-17,1.0877919644084148e-16
cyber_target_delta_elbow,-2.2204460492503132e-17,1.0877919644084148e-16
physical_reported_wrist_1_position_std,-2.2204460492503132e-17,4.4408920985006264e-17
physical_reported_elbow_effort_rms,-2.2204460492503132e-17,1.2947314098277876e-16
physical_reported_elbow_position_rms,-2.2204460492503132e-17,1.631687946612622e-16
physical_reported_elbow_position_mean,-2.2204460492503132e-17,1.6316879466126218e-16
physical_reported_wrist_2_velocity_min,-2.2204460492503132e-17,1.0877919644084148e-16
fused_final_tracking_error_wrist_1,-2.2204460492503132e-17,8.30814836211045e-17
physical_reported_gripper_position_mean,-2.2204460492503132e-17,1.0877919644084146e-16
cyber_target_wrist_1,-2.2204460492503132e-17,1.0877919644084148e-16
fused_abs_final_tracking_error_shoulder_pan,-2.2204460492503132e-17,4.4408920985006264e-17
cyber_target_delta_shoulder_lift,-2.2204460492503132e-17,1.0877919644084146e-16
physical_reported_wrist_2_position_rms,-2.2204460492503132e-17,1.0877919644084148e-16
physical_reported_wrist_1_effort_range,-2.2204460492503132e-17,4.440892098500627e-17
physical_reported_gripper_position_first,-2.2204460492503132e-17,4.4408920985006264e-17
physical_reported_wrist_3_velocity_range,-4.4408920985006264e-17,5.438959822042074e-17
cyber_target_delta_l1,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_wrist_3_velocity_min,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_wrist_1_position_first,-4.4408920985006264e-17,8.881784197001253e-17
physical_reported_wrist_1_effort_std,-4.4408920985006264e-17,8.881784197001254e-17
physical_reported_elbow_velocity_std,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_wrist_1_velocity_max,-4.4408920985006264e-17,8.881784197001253e-17
physical_reported_wrist_1_position_rms,-4.4408920985006264e-17,8.881784197001254e-17
physical_reported_wrist_2_position_last,-4.4408920985006264e-17,8.881784197001253e-17
physical_reported_elbow_position_min,-4.4408920985006264e-17,1.5059797815742447e-16
physical_reported_wrist_2_velocity_first,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_wrist_3_velocity_rms,-4.4408920985006264e-17,5.438959822042074e-17
fused_final_tracking_error_wrist_2,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_wrist_1_effort_max,-4.4408920985006264e-17,8.881784197001253e-17
physical_reported_elbow_effort_delta,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_wrist_1_effort_mean,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_wrist_2_velocity_range,-4.4408920985006264e-17,8.881784197001254e-17
physical_reported_gripper_position_last,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_wrist_1_position_max,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_shoulder_pan_position_range,-4.4408920985006264e-17,8.881784197001253e-17
physical_reported_gripper_velocity_first,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_wrist_1_effort_min,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_gripper_velocity_rms,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_shoulder_pan_effort_mean,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_shoulder_pan_position_delta,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_shoulder_pan_effort_max,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_shoulder_lift_effort_first,-4.4408920985006264e-17,8.881784197001254e-17
physical_reported_wrist_3_effort_mean,-4.4408920985006264e-17,8.881784197001254e-17
cyber_time_since_previous_command_s,-4.4408920985006264e-17,1.5059797815742447e-16
fused_final_tracking_error_elbow,-4.4408920985006264e-17,1.1322097734007353e-16
cyber_target_elbow,-4.4408920985006264e-17,1.5059797815742447e-16
physical_reported_shoulder_lift_velocity_rms,-4.4408920985006264e-17,1.1322097734007353e-16
physical_reported_shoulder_pan_effort_delta,-4.4408920985006264e-17,5.438959822042074e-17
physical_reported_shoulder_lift_position_last,-4.4408920985006264e-17,1.3322676295501878e-16
