outer_fold,feature_set,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,cyber_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
1,cyber_only,logistic_regression,0.896875,0.9289473684210527,0.616771831100639,0.9289473684210525,0.6806993202863356,0.9267323344249695
1,cyber_only,random_forest,0.996875,0.95,0.999344262295082,0.95,0.9723211654246138,0.9967306639720432
1,cyber_only,hist_gradient_boosting,0.99625,0.9498684210526316,0.9898200224971878,0.9498684210526316,0.9673773057350505,0.9961131841051555
1,physical_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
1,physical_only,logistic_regression,0.908125,0.7438157894736841,0.6016233766233766,0.7438157894736841,0.6352703817976357,0.9376732024276592
1,physical_only,random_forest,0.97875,0.6599999999999999,0.7713824289405685,0.6599999999999999,0.686269944744521,0.9718358089650462
1,physical_only,hist_gradient_boosting,0.98625,0.78,0.7848685075608153,0.78,0.7799342321604735,0.9859376027622493
1,fused,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
1,fused,logistic_regression,0.92625,0.9548684210526315,0.7529674181289526,0.9548684210526315,0.7930318093633358,0.9498977074973753
1,fused,random_forest,0.99875,0.9800000000000001,0.9997371879106438,0.9800000000000001,0.9896120973044049,0.9987343852728467
1,fused,hist_gradient_boosting,0.999375,0.99,0.9998685075608152,0.99,0.9948060270322685,0.9993670899417364
2,cyber_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
2,cyber_only,logistic_regression,0.82,0.9522368421052633,0.5335635995210464,0.9522368421052632,0.590781889390907,0.8766895782213305
2,cyber_only,random_forest,0.99875,0.9800000000000001,0.9903446980370056,0.9800000000000001,0.9847997731235754,0.998741699072443
2,cyber_only,hist_gradient_boosting,0.998125,0.9897368421052631,0.9816865162487283,0.9897368421052631,0.9851505519817465,0.9981464405946143
2,physical_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
2,physical_only,logistic_regression,0.913125,0.7744736842105263,0.6478571428571429,0.7744736842105263,0.6682196364742566,0.9414043843638301
2,physical_only,random_forest,0.98125,0.7,0.7776592977893368,0.7,0.7271560933071723,0.9774289432090691
2,physical_only,hist_gradient_boosting,0.984375,0.75,0.7488491048593351,0.75,0.7485857950974231,0.9842866121935888
2,fused,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
2,fused,logistic_regression,0.9275,0.9748684210526317,0.7862279329255765,0.9748684210526315,0.8169830218531071,0.951702464506845
2,fused,random_forest,0.99875,0.9800000000000001,0.9997371879106438,0.9800000000000001,0.9896120973044049,0.9987343852728467
2,fused,hist_gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0
3,cyber_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
3,cyber_only,logistic_regression,0.82,0.9423684210526316,0.5218499191475259,0.9423684210526316,0.5793262676893538,0.8763495039310203
3,cyber_only,random_forest,0.998125,0.9798684210526316,0.9722943722943723,0.9798684210526316,0.9750060147841493,0.9981293862892611
3,cyber_only,hist_gradient_boosting,0.99875,0.9800000000000001,0.9818181818181818,0.9800000000000001,0.9799498746867167,0.9987468671679198
3,physical_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
3,physical_only,logistic_regression,0.914375,0.7846052631578948,0.6426152279093456,0.7846052631578948,0.669608059882836,0.9418248451727148
3,physical_only,random_forest,0.981875,0.71,0.7976592977893369,0.71,0.7404894266405058,0.9782622765424026
3,physical_only,hist_gradient_boosting,0.985625,0.7699999999999999,0.7798685075608153,0.7699999999999999,0.7748060270322684,0.9856170899417365
3,fused,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
3,fused,logistic_regression,0.928125,0.9453947368421052,0.7847263518517169,0.9453947368421052,0.8087764011073117,0.9522123475948043
3,fused,random_forest,0.998125,0.97,0.9996060407091267,0.97,0.9841483052407174,0.9980850166950276
3,fused,hist_gradient_boosting,0.999375,0.99,0.9998685075608152,0.99,0.9948060270322683,0.9993670899417364
