metric,mean,std
fold,3.0,1.5811388300841898
command_precision,0.07470228959532452,0.0022138994949600066
command_recall,0.9475,0.010458250331675948
command_f1,0.13848234632002746,0.003886887644821779
attack_event_recall,0.9475,0.010458250331675948
attacked_run_recall,0.9574999999999999,0.011180339887498964
normal_run_false_positive_rate,0.145,0.0570087712549569
base_command_threshold,0.035698484405888506,0.00038172087224797323
base_run_threshold,0.03626455591508812,0.0007704342822962645
temporal_command_threshold,0.0235993117033954,0.008057184649218695
base_pca_components,11.0,0.0
temporal_pca_components,22.0,0.0
